ID,馬主名,馬主netkeibaID
910,中村昭博,422006
911,櫻井悦朗,527030
912,菅波立知子,767008
913,小山大介,340031
914,桜井牧場,543800
915,伊達敏明,910006
916,ＹＴレーシング,422030
917,須山悟至,944031
918,大島牧場,487800
919,加藤正二郎,32030
920,江川伸夫,338006
921,石川産業,398803
922,清水義徳,728033
923,竹下浩一,405031
924,江口博美,712031
925,白日光,115031
926,横井良明,430031
927,河野和香子,710002
928,山紫水明,91803
929,ザ・チャンピオンズ,21700
930,コスモ・コスモ,360803
931,三木久史,52006
932,アイテツ,958800
933,ムーティエレーシング,334700
934,櫻井秀樹,18803
935,中島真美,306030
936,武田修,837008
937,目谷一幸,457033
938,藤田岳彦,499033
939,島井新一郎,941030
940,里見治紀,658033
941,服部英利,921031
942,黒須不二男,143033
943,芹澤精一,683002
944,佐々木幸弘,746033
945,福島徳佑,929009
946,日東牧場,115800
947,櫻井正,864009
948,小川勲,75002
949,谷賢臣,748033
950,首藤徳,161006
951,山口雄司,209031
952,河野孝明,224031
953,山本益臣,592031
954,松本貴嗣,201031
955,ＭＭＳホールディングス,375803
956,前田清二,125031
957,中本行則,193033
958,前田剛,182033
959,丸山大知,17034
960,ＣＯＣＯＲＯ組合,86700
961,兼子尚也,138031
962,蕭敬意,60034
963,ＯＲＴＥＧＡ,351803
964,藤田秀行,311033
965,北川勉,749002
966,イージス,818800
967,杵臼斉藤牧場,406800
968,谷脇智恵子,989031
969,寺田英司,675031
970,菅野隆志,802031
971,池田貴征,332034
972,高橋徳昭,616031
973,藤川靖仁,664031
974,パニオロ,22803
975,古川一弘,680033
976,野嶋祥二,258033
977,マブレーシング,301700
978,山内邦一,381002
979,野田善己,537033
980,ＩＲレーシング,4031
981,竹下佳利,568031
982,福田達也,214031
983,後藤貞夫,391803
984,臼井一眞,529031
985,森永聡,219031
986,田原邦男,16008
987,水谷光太郎,629031
988,田中邦彦,565033
989,岩崎僖澄,288009
990,谷川正純,12033
991,齊藤直信,571006
992,中村伊三美,36034
993,岩切企画,56803
994,河村祥史,889006
995,本田知聖,736031
996,永嶋啓一,732031
997,もだんスタイルレーシング,364803
998,古川智洋,362008
999,高橋ファーム,884800
1000,寺田心平,512033
1001,酒井牧場,138800
1002,小島章義,591031
1003,飯田総一郎,768008
1004,シンシアリー,340803
1005,岡田勇,548009
1006,グランホース,331700
1007,谷岡正次,42005
1008,船越伸也,715033
1009,杉元四男,848009
1010,後藤和成,106803
1011,服部健太郎,477033
1012,増田江利子,635031
1013,フェニックスレーシング,38700
1014,サクラターフィークラブ,307700
1015,小島吉彦,408031
1016,エデンアソシエーション,94700
1017,吉野英子,34030
1018,小島正宏,216031
1019,山中佳代,360030
1020,簗詰貴彦,406006
1021,高橋敏英,910031
1022,高橋眞紀子,804033
1023,米津佳昭,195033
1024,玉置潔,316007
1025,陳立文,788033
1026,保谷フミ子,214002
1027,浅田次郎,108007
1028,小泉賢悟,658002
1029,加藤千豊,841008
1030,土田重実,331033
1031,野村春行,131005
1032,早野誠,376033
1033,宮田美恵子,189033
1034,サン,66700
1035,平山靖,55803
1036,西村有人,339034
1037,後藤進,460030
1038,山内晃,10033
1039,藤田好紀,41033
1040,名古屋競馬,4800
1041,越村洋子,938031
1042,近藤克麿,110030
1043,池袋レーシング,63700
1044,宮崎吉二,794030
1045,池田草龍,204033
1046,山本堅治,284030
1047,杉安浩一郎,563009
1048,藤本彰,253033
1049,細川大輔,310031
1050,奥田貴敏,140031
1051,橋本忠雄,434006
1052,吉田智,805033
1053,佐藤牧場,918800
1054,土井久美子,643031
1055,ＩＺＵＲＵジャパン,997031
1056,チームユッキレーシング,69700
1057,下河辺美智子,21007
1058,橋本善太,669031
1059,古賀和夫,768005
1060,バイオ,930800
1061,久米田正平,947030
1062,加藤鈴幸,910002
1063,杉山元洋,564031
1064,大戸志浦,520030
1065,下村直,90006
1066,松本和子,789006
1067,守内ひろ子,316033
1068,岡本昌市,150031
1069,山田容子,620031
1070,大野裕,607033
1071,成田才仁,211031
1072,柳原達也,302033
1073,谷正之,155031
1074,山崎太嗣,275031
1075,梅澤明,993033
1076,檜森高史,704031
1077,増山武志,786006
1078,酒井喜生,601033
1079,ＴＵＲＦレーシング,28803
1080,西村亮二,556033
1081,石井義人,873033
1082,吉田好雄,29007
1083,高橋美雄,72031
1084,森達郎,591033
1085,赤松敬之,237031
1086,薪浦州平,543033
1087,友水達也,313008
1088,飯島利彦,945031
1089,宮田大三,414031
1090,田原慶子,537009
1091,貴悦,472800
1092,馬目時宗,460031
1093,梶正典,218031
1094,長谷川千代子,844031
1095,浦邊輝實,539033
1096,奥村訓彦,248031
1097,サヴァイブホースレーシング,387803
1098,坂田栄一,336034
1099,落合稔,602033
1100,月舘範行,194033
1101,長浜牧場,396800
1102,菅波雅巳,125008
1103,松島千佳,384031
1104,藤田純,870033
1105,井内康之,571031
1106,鈴木真,44033
1107,内藤好江,663007
1108,エム・ケー・ホース,886800
1109,大久保和夫,474008
1110,林弘之,430033
1111,山本雅道,104031
1112,儀賀好子,721001
1113,新熊一生,363803
1114,根岸朋弘,156033
1115,西浩明,275033
1116,笹部和子,589007
1117,佐々木將吉,244031
1118,土屋君春,628009
1119,伊藤健,862031
1120,村木慎吾,273031
1121,乙訓史樹,482031
1122,佐山元章,503031
1123,松村真司,526033
1124,尾上寿夫,982033
1125,北嶋義三,943033
1126,アラキファーム,471800
1127,平口信行,411030
1128,小野寺悠太,547031
1129,桑畑隆信,836008
1130,瀬山孝一,523009
1131,八木昌司,222007
1132,林千枝子,43008
